epoch,step,train_loss,train_mae,train_mse,val_loss,val_mae,val_mse
73,13299,-1.097582459449768,8.710512161254883,127.80197143554688,,,
73,13319,,,,-1.743409276008606,4.433575630187988,30.117713928222656
74,13349,-1.9014066457748413,3.767606019973755,20.077674865722656,,,
74,13399,-0.9733204245567322,11.473466873168945,170.1373291015625,,,
74,13449,-0.9765998721122742,10.9114408493042,168.85745239257812,,,
74,13499,-1.36020028591156,7.120390892028809,69.81033325195312,,,
74,13499,,,,-1.4297503232955933,6.316989421844482,61.714561462402344
75,13549,-1.7605968713760376,3.9954092502593994,27.76662826538086,,,
75,13599,-1.8628166913986206,3.958773612976074,21.943376541137695,,,
75,13649,-1.9484097957611084,3.5004916191101074,18.018152236938477,,,
75,13679,,,,-1.1235805749893188,9.046920776367188,124.67459869384766
76,13699,-1.6270252466201782,4.956048965454102,37.765464782714844,,,
76,13749,-1.5757410526275635,4.467589378356934,42.4990234375,,,
76,13799,-1.3109866380691528,5.981359004974365,78.18679809570312,,,
76,13849,-1.3470557928085327,6.712292671203613,71.9555435180664,,,
76,13859,,,,-1.5422886610031128,5.424394130706787,48.12871551513672
77,13899,-1.1637974977493286,7.548243522644043,109.72927856445312,,,
77,13949,-1.85007643699646,3.8865721225738525,22.596622467041016,,,
77,13999,-1.9606000185012817,3.4132611751556396,17.519439697265625,,,
77,14039,,,,-1.4825574159622192,5.535067081451416,55.43934631347656
78,14049,-1.8858330249786377,3.6072213649749756,20.810718536376953,,,
78,14099,-1.1672009229660034,8.429826736450195,108.87271881103516,,,
78,14149,-0.779442548751831,12.728767395019531,265.87493896484375,,,
78,14199,-1.1713515520095825,8.312089920043945,107.837158203125,,,
78,14219,,,,-1.3790022134780884,6.424724578857422,69.25382232666016
79,14249,-1.4546072483062744,5.241418838500977,56.171085357666016,,,
79,14299,-1.7155624628067017,4.71811056137085,30.800487518310547,,,
79,14349,-1.8005460500717163,4.220962047576904,25.326433181762695,,,
79,14399,-1.5331069231033325,5.567234039306641,46.88274383544922,,,
79,14399,,,,-1.8442881107330322,3.8628721237182617,23.58863639831543
80,14449,-1.930327296257019,3.5392236709594727,18.784204483032227,,,
80,14499,-1.103870153427124,9.268558502197266,125.96498107910156,,,
80,14549,-1.7514638900756836,4.415000915527344,28.356727600097656,,,
80,14579,,,,-1.772156834602356,4.247778415679932,28.215009689331055
81,14599,-1.182669997215271,7.480795860290527,105.06306457519531,,,
81,14649,-1.9685559272766113,3.192108631134033,17.201412200927734,,,
81,14699,-1.4061789512634277,5.764143943786621,62.79731750488281,,,
81,14749,-1.101132869720459,8.5802583694458,126.76142883300781,,,
81,14759,,,,-1.757746696472168,4.290838718414307,28.7120304107666
82,14799,-1.5688968896865845,5.1456756591796875,43.17408752441406,,,
82,14849,-1.7589821815490723,4.206180572509766,27.870054244995117,,,
82,14899,-1.7744653224945068,4.18152379989624,26.89394760131836,,,
82,14939,,,,-1.3419321775436401,7.164438724517822,74.21613311767578
83,14949,-1.5484788417816162,5.398500919342041,45.252357482910156,,,
83,14999,-1.6492325067520142,4.9513092041015625,35.882896423339844,,,
83,15049,-1.2610236406326294,6.486032009124756,87.71952056884766,,,
83,15099,-1.8181668519973755,4.114643096923828,24.319414138793945,,,
83,15119,,,,-1.803216576576233,4.033313274383545,25.93680763244629
84,15149,-1.2165756225585938,7.129990577697754,97.1727294921875,,,
84,15199,-1.8175230026245117,3.871546745300293,24.355499267578125,,,
84,15249,-1.6867396831512451,4.613522529602051,32.91397476196289,,,
84,15299,-1.9444578886032104,3.2841625213623047,18.1828556060791,,,
84,15299,,,,-1.8859624862670898,3.652963638305664,21.496475219726562
85,15349,-1.8308876752853394,3.8419694900512695,23.617420196533203,,,
85,15399,-1.6436817646026611,4.622599124908447,36.34445571899414,,,
85,15449,-0.9878426194190979,8.961621284484863,164.542236328125,,,
85,15479,,,,-1.0566422939300537,9.943305969238281,144.7396240234375
86,15499,-1.0206644535064697,9.706889152526855,152.56521606445312,,,
86,15549,-1.2852973937988281,6.81718111038208,82.95120239257812,,,
86,15599,-1.6600353717803955,4.496389389038086,35.00133514404297,,,
86,15649,-1.6380046606063843,4.657471656799316,36.82268142700195,,,
86,15659,,,,-1.8884737491607666,3.766263484954834,21.56178855895996
87,15699,-1.565421462059021,5.478132247924805,43.52096176147461,,,
87,15749,-1.3311896324157715,5.997773170471191,74.63288879394531,,,
87,15799,-1.3656692504882812,6.869321823120117,68.9367446899414,,,
87,15839,,,,-1.8747750520706177,3.7388153076171875,22.065038681030273
88,15849,-1.7040647268295288,4.031595230102539,31.626802444458008,,,
